Dec_Output X,Dec_Output Y
1.00E-06,54
2.00E-06,11
3.00E-06,51
4.00E-06,13
5.00E-06,48
6.00E-06,16
7.00E-06,45
8.00E-06,20
9.00E-06,42
1.00E-05,23
1.10E-05,38
1.20E-05,27
1.30E-05,35
1.40E-05,30
1.50E-05,31
1.60E-05,34
1.70E-05,27
1.80E-05,37
1.90E-05,24
2.00E-05,41
2.10E-05,21
2.20E-05,44
2.30E-05,17
2.40E-05,47
2.50E-05,14
2.60E-05,50
2.70E-05,12
2.80E-05,53
2.90E-05,9
3.00E-05,55
3.10E-05,7
3.20E-05,57
3.30E-05,5
3.40E-05,59
3.50E-05,3
3.60E-05,61
3.70E-05,2
3.80E-05,62
3.90E-05,1
4.00E-05,63
4.10E-05,0
4.20E-05,63
4.30E-05,0
4.40E-05,63
4.50E-05,0
4.60E-05,63
4.70E-05,0
4.80E-05,62
4.90E-05,1
5.00E-05,61
5.10E-05,2
5.20E-05,60
5.30E-05,4
5.40E-05,58
5.50E-05,6
5.60E-05,56
5.70E-05,8
5.80E-05,54
5.90E-05,11
6.00E-05,51
6.10E-05,14
6.20E-05,48
6.30E-05,17
6.40E-05,45
6.50E-05,20
6.60E-05,41
6.70E-05,23
6.80E-05,38
6.90E-05,27
7.00E-05,34
7.10E-05,30
7.20E-05,31
7.30E-05,34
7.40E-05,27
7.50E-05,37
7.60E-05,24
7.70E-05,41
7.80E-05,20
7.90E-05,44
8.00E-05,17
8.10E-05,47
8.20E-05,14
8.30E-05,50
8.40E-05,11
8.50E-05,53
8.60E-05,9
8.70E-05,55
8.80E-05,6
8.90E-05,58
9.00E-05,4
9.10E-05,59
9.20E-05,3
9.30E-05,61
9.40E-05,1
9.50E-05,62
9.60E-05,1
9.70E-05,63
9.80E-05,0
9.90E-05,63
1.00E-04,0
0.000101,63
0.000102,0
0.000103,63
0.000104,0
0.000105,62
0.000106,1
0.000107,61
0.000108,2
0.000109,60
0.00011,4
0.000111,58
0.000112,6
0.000113,56
0.000114,8
0.000115,53
0.000116,11
0.000117,51
0.000118,14
0.000119,48
0.00012,17
0.000121,45
0.000122,20
0.000123,41
0.000124,24
0.000125,38
0.000126,27
0.000127,34
0.000128,31
0.000129,31
0.00013,34
0.000131,27
0.000132,38
0.000133,24
0.000134,41
0.000135,20
0.000136,44
0.000137,17
0.000138,47
0.000139,14
0.00014,50
0.000141,11
0.000142,53
0.000143,9
0.000144,56
0.000145,6
0.000146,58
0.000147,4
0.000148,60
0.000149,3
0.00015,61
0.000151,1
0.000152,62
0.000153,0
0.000154,63
0.000155,0
0.000156,63
0.000157,0
0.000158,63
0.000159,0
0.00016,63
0.000161,0
0.000162,62
0.000163,1
0.000164,61
0.000165,3
0.000166,60
0.000167,4
0.000168,58
0.000169,6
0.00017,56
0.000171,8
0.000172,53
0.000173,11
0.000174,51
0.000175,14
0.000176,48
0.000177,17
0.000178,44
0.000179,20
0.00018,41
0.000181,24
0.000182,38
0.000183,27
0.000184,34
0.000185,31
0.000186,30
0.000187,34
0.000188,27
0.000189,38
0.00019,23
0.000191,41
0.000192,20
0.000193,44
0.000194,17
0.000195,48
0.000196,14
0.000197,51
0.000198,11
0.000199,53
0.0002,8
0.000201,56
0.000202,6
0.000203,58
0.000204,4
0.000205,60
0.000206,3
0.000207,61
0.000208,1
0.000209,62
0.00021,0
0.000211,63
0.000212,0
0.000213,63
0.000214,0
0.000215,63
0.000216,0
0.000217,63
0.000218,0
0.000219,62
0.00022,1
0.000221,61
0.000222,3
0.000223,60
0.000224,4
0.000225,58
0.000226,6
0.000227,56
0.000228,9
0.000229,53
0.00023,11
0.000231,50
0.000232,14
0.000233,47
0.000234,17
0.000235,44
0.000236,20
0.000237,41
0.000238,24
0.000239,37
0.00024,27
0.000241,34
0.000242,31
0.000243,30
0.000244,35
0.000245,27
0.000246,38
0.000247,23
0.000248,41
0.000249,20
0.00025,45
0.000251,17
0.000252,48
0.000253,14
0.000254,51
0.000255,11
0.000256,53
0.000257,8
0.000258,56
0.000259,6
0.00026,58
0.000261,4
0.000262,60
0.000263,3
0.000264,61
0.000265,1
0.000266,62
0.000267,0
0.000268,63
0.000269,0
0.00027,63
0.000271,0
0.000272,63
0.000273,0
0.000274,63
0.000275,0
0.000276,62
0.000277,1
0.000278,61
0.000279,3
0.00028,59
0.000281,4
0.000282,58
0.000283,6
0.000284,55
0.000285,9
0.000286,53
0.000287,11
0.000288,50
0.000289,14
0.00029,47
0.000291,17
0.000292,44
0.000293,21
0.000294,41
0.000295,24
0.000296,37
0.000297,28
0.000298,34
0.000299,31
0.0003,30
0.000301,35
0.000302,27
0.000303,38
0.000304,23
0.000305,42
0.000306,20
0.000307,45
0.000308,17
0.000309,48
0.00031,14
0.000311,51
0.000312,11
0.000313,54
0.000314,8
0.000315,56
0.000316,6
0.000317,58
0.000318,4
0.000319,60
0.00032,2
0.000321,61
0.000322,1
0.000323,62
0.000324,0
0.000325,63
0.000326,0
0.000327,63
0.000328,0
0.000329,63
0.00033,0
0.000331,63
0.000332,1
0.000333,62
0.000334,1
0.000335,61
0.000336,3
0.000337,59
0.000338,4
0.000339,58
0.00034,7
0.000341,55
0.000342,9
0.000343,53
0.000344,12
0.000345,50
0.000346,14
0.000347,47
0.000348,18
0.000349,44
0.00035,21
0.000351,40
0.000352,24
0.000353,37
0.000354,28
0.000355,33
0.000356,31
0.000357,30
0.000358,35
0.000359,26
0.00036,38
0.000361,23
0.000362,42
0.000363,20
0.000364,45
0.000365,16
0.000366,48
0.000367,13
0.000368,51
0.000369,11
0.00037,54
0.000371,8
0.000372,56
0.000373,6
0.000374,58
0.000375,4
0.000376,60
0.000377,2
0.000378,61
0.000379,1
0.00038,62
0.000381,0
0.000382,63
0.000383,0
0.000384,63
0.000385,0
0.000386,63
0.000387,0
0.000388,63
0.000389,1
0.00039,62
0.000391,2
0.000392,61
0.000393,3
0.000394,59
0.000395,5
0.000396,57
0.000397,7
0.000398,55
0.000399,9
0.0004,53
0.000401,12
0.000402,50
0.000403,15
0.000404,47
0.000405,18
0.000406,44
0.000407,21
0.000408,40
0.000409,25
0.00041,37
0.000411,28
0.000412,33
0.000413,32
0.000414,30
0.000415,35
0.000416,26
0.000417,39
0.000418,23
0.000419,42
0.00042,19
0.000421,45
0.000422,16
0.000423,48
0.000424,13
0.000425,51
0.000426,10
0.000427,54
0.000428,8
0.000429,56
0.00043,6
0.000431,58
0.000432,4
0.000433,60
0.000434,2
0.000435,61
0.000436,1
0.000437,62
0.000438,0
0.000439,63
0.00044,0
0.000441,63
0.000442,0
0.000443,63
0.000444,0
0.000445,63
0.000446,1
0.000447,62
0.000448,2
0.000449,61
0.00045,3
0.000451,59
0.000452,5
0.000453,57
0.000454,7
0.000455,55
0.000456,9
0.000457,53
0.000458,12
0.000459,50
0.00046,15
0.000461,47
0.000462,18
