Dec_Output X,Dec_Output Y
1.00E-06,32
2.00E-06,34
3.00E-06,35
4.00E-06,37
5.00E-06,39
6.00E-06,41
7.00E-06,42
8.00E-06,44
9.00E-06,46
1.00E-05,47
1.10E-05,49
1.20E-05,50
1.30E-05,52
1.40E-05,53
1.50E-05,54
1.60E-05,55
1.70E-05,57
1.80E-05,58
1.90E-05,59
2.00E-05,60
2.10E-05,60
2.20E-05,61
2.30E-05,62
2.40E-05,62
2.50E-05,63
2.60E-05,63
2.70E-05,63
2.80E-05,63
2.90E-05,63
3.00E-05,63
3.10E-05,63
3.20E-05,63
3.30E-05,63
3.40E-05,62
3.50E-05,62
3.60E-05,61
3.70E-05,61
3.80E-05,60
3.90E-05,59
4.00E-05,58
4.10E-05,57
4.20E-05,56
4.30E-05,55
4.40E-05,53
4.50E-05,52
4.60E-05,51
4.70E-05,49
4.80E-05,48
4.90E-05,46
5.00E-05,45
5.10E-05,43
5.20E-05,41
5.30E-05,40
5.40E-05,38
5.50E-05,36
5.60E-05,34
5.70E-05,33
5.80E-05,31
5.90E-05,29
6.00E-05,27
6.10E-05,26
6.20E-05,24
6.30E-05,22
6.40E-05,20
6.50E-05,19
6.60E-05,17
6.70E-05,16
6.80E-05,14
6.90E-05,13
7.00E-05,11
7.10E-05,10
7.20E-05,9
7.30E-05,7
7.40E-05,6
7.50E-05,5
7.60E-05,4
7.70E-05,3
7.80E-05,3
7.90E-05,2
8.00E-05,1
8.10E-05,1
8.20E-05,0
8.30E-05,0
8.40E-05,0
8.50E-05,0
8.60E-05,0
8.70E-05,0
8.80E-05,0
8.90E-05,0
9.00E-05,0
9.10E-05,1
9.20E-05,1
9.30E-05,2
9.40E-05,2
9.50E-05,3
9.60E-05,4
9.70E-05,5
9.80E-05,6
9.90E-05,7
1.00E-04,8
0.000101,10
0.000102,11
0.000103,12
0.000104,14
0.000105,15
0.000106,17
0.000107,19
0.000108,20
0.000109,22
0.00011,24
0.000111,25
0.000112,27
0.000113,29
0.000114,31
0.000115,32
0.000116,34
0.000117,36
0.000118,38
0.000119,39
0.00012,41
0.000121,43
0.000122,44
0.000123,46
0.000124,48
0.000125,49
0.000126,51
0.000127,52
0.000128,53
0.000129,55
0.00013,56
0.000131,57
0.000132,58
0.000133,59
0.000134,60
0.000135,61
0.000136,61
0.000137,62
0.000138,62
0.000139,63
0.00014,63
0.000141,63
0.000142,63
0.000143,63
0.000144,63
0.000145,63
0.000146,63
0.000147,63
0.000148,62
0.000149,62
0.00015,61
0.000151,60
0.000152,60
0.000153,59
0.000154,58
0.000155,57
0.000156,56
0.000157,54
0.000158,53
0.000159,52
0.00016,50
0.000161,49
0.000162,47
0.000163,46
0.000164,44
0.000165,43
0.000166,41
0.000167,39
0.000168,38
0.000169,36
0.00017,34
0.000171,32
0.000172,30
0.000173,29
0.000174,27
0.000175,25
0.000176,23
0.000177,22
0.000178,20
0.000179,18
0.00018,17
0.000181,15
0.000182,14
0.000183,12
0.000184,11
0.000185,10
0.000186,8
0.000187,7
0.000188,6
0.000189,5
0.00019,4
0.000191,3
0.000192,2
0.000193,2
0.000194,1
0.000195,1
0.000196,0
0.000197,0
0.000198,0
0.000199,0
0.0002,0
0.000201,0
0.000202,0
0.000203,0
0.000204,0
0.000205,1
0.000206,1
0.000207,2
0.000208,3
0.000209,3
0.00021,4
0.000211,5
0.000212,6
0.000213,7
0.000214,9
0.000215,10
0.000216,11
0.000217,13
0.000218,14
0.000219,16
0.00022,17
0.000221,19
0.000222,21
0.000223,22
0.000224,24
0.000225,26
0.000226,27
0.000227,29
0.000228,31
0.000229,33
0.00023,35
0.000231,36
0.000232,38
0.000233,40
0.000234,41
0.000235,43
0.000236,45
0.000237,46
0.000238,48
0.000239,49
0.00024,51
0.000241,52
0.000242,54
0.000243,55
0.000244,56
0.000245,57
0.000246,58
0.000247,59
0.000248,60
0.000249,61
0.00025,61
0.000251,62
0.000252,62
0.000253,63
0.000254,63
0.000255,63
0.000256,63
0.000257,63
0.000258,63
0.000259,63
0.00026,63
0.000261,63
0.000262,62
0.000263,62
0.000264,61
0.000265,60
0.000266,59
0.000267,59
0.000268,58
0.000269,57
0.00027,55
0.000271,54
0.000272,53
0.000273,52
0.000274,50
0.000275,49
0.000276,47
0.000277,46
0.000278,44
0.000279,42
0.00028,41
0.000281,39
0.000282,37
0.000283,35
0.000284,34
0.000285,32
0.000286,30
0.000287,28
0.000288,27
0.000289,25
0.00029,23
0.000291,21
0.000292,20
0.000293,18
0.000294,16
0.000295,15
0.000296,13
0.000297,12
0.000298,11
0.000299,9
0.0003,8
0.000301,7
0.000302,6
0.000303,5
0.000304,4
0.000305,3
0.000306,2
0.000307,2
0.000308,1
0.000309,0
0.00031,0
0.000311,0
0.000312,0
0.000313,0
0.000314,0
0.000315,0
0.000316,0
0.000317,0
0.000318,0
0.000319,1
0.00032,1
0.000321,2
0.000322,3
0.000323,4
0.000324,5
0.000325,6
0.000326,7
0.000327,8
0.000328,9
0.000329,10
0.00033,12
0.000331,13
0.000332,15
0.000333,16
0.000334,18
0.000335,19
0.000336,21
0.000337,23
0.000338,24
0.000339,26
0.00034,28
0.000341,30
0.000342,31
0.000343,33
0.000344,35
0.000345,37
0.000346,38
0.000347,40
0.000348,42
0.000349,43
0.00035,45
0.000351,47
0.000352,48
0.000353,50
0.000354,51
0.000355,53
0.000356,54
0.000357,55
0.000358,56
0.000359,57
0.00036,58
0.000361,59
0.000362,60
0.000363,61
0.000364,62
0.000365,62
0.000366,63
0.000367,63
0.000368,63
0.000369,63
0.00037,63
0.000371,63
0.000372,63
0.000373,63
0.000374,63
0.000375,63
0.000376,62
0.000377,62
0.000378,61
0.000379,60
0.00038,59
0.000381,58
0.000382,57
0.000383,56
0.000384,55
0.000385,54
0.000386,53
0.000387,51
0.000388,50
0.000389,48
0.00039,47
